"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2530","Открытие формы документа ""Заявка на выдачу оборудования"" (ЗаявкаНаВыдачуОборудования)","","Thu Feb 20 15:06:37 MSK 2025","passed","Thu Feb 20 15:06:40 MSK 2025","","","",""
"","1545","Открытие формы регистра сведений ""Учет принятых к доставке документов"" (УчетПринятыхКДоставкеДокументов)","","Thu Feb 20 15:46:07 MSK 2025","passed","Thu Feb 20 15:46:08 MSK 2025","","","",""
"","2493","Открытие формы списка справочника ""Шаблоны процентовка"" (ШаблоныПоказателейРасчетаЗП)","","Thu Feb 20 14:49:43 MSK 2025","passed","Thu Feb 20 14:49:46 MSK 2025","","","",""
"","11504","Печать элемента документа ""Отбор (размещение) товаров"" (ОтборРазмещениеТоваров)","","Thu Feb 20 15:16:52 MSK 2025","passed","Thu Feb 20 15:17:04 MSK 2025","","","",""
"","1550","Печать элемента документа ""Отчет по комиссии между организациями"" (ОтчетПоКомиссииМеждуОрганизациями)","","Thu Feb 20 15:17:24 MSK 2025","passed","Thu Feb 20 15:17:26 MSK 2025","","","",""
"","2475","Открытие формы списка документа ""Акт о расхождениях после приемки"" (АктОРасхожденияхПослеПриемки)","","Thu Feb 20 14:51:52 MSK 2025","passed","Thu Feb 20 14:51:54 MSK 2025","","","",""
"","2429","Открытие формы документа ""План налогов"" (ПланНалогов)","","Thu Feb 20 15:03:01 MSK 2025","passed","Thu Feb 20 15:03:04 MSK 2025","","","",""
"","2648","Открытие формы списка справочника ""Источники данных планирования"" (ИсточникиДанныхПланирования)","","Thu Feb 20 14:42:08 MSK 2025","passed","Thu Feb 20 14:42:10 MSK 2025","","","",""
"","1439","Открытие формы регистра сведений ""Настройки транспорта обмена областей данных"" (НастройкиТранспортаОбменаОбластейДанных)","","Thu Feb 20 15:44:40 MSK 2025","passed","Thu Feb 20 15:44:42 MSK 2025","","","",""
"","2497","Открытие формы документа ""Счет-фактура налогового агента"" (СчетФактураНалоговыйАгент)","","Thu Feb 20 15:05:04 MSK 2025","passed","Thu Feb 20 15:05:06 MSK 2025","","","",""
"","2254","Открытие формы списка регистра сведений ""Эффективная процентная ставка"" (ЯРВЕТ_ЭффективнаяПроцентнаяСтавка)","","Thu Feb 20 15:41:11 MSK 2025","passed","Thu Feb 20 15:41:13 MSK 2025","","","",""
"","2173","Открытие формы списка регистра сведений ""Пути к программам электронной подписи и шифрования на серверах Linux"" (ПутиКПрограммамЭлектроннойПодписиИШифрованияНаСерверахLinux)","","Thu Feb 20 15:39:59 MSK 2025","passed","Thu Feb 20 15:40:02 MSK 2025","","","",""
"","2185","Открытие формы списка регистра сведений ""Версии классификаторов"" (ВерсииКлассификаторов)","","Thu Feb 20 15:36:28 MSK 2025","passed","Thu Feb 20 15:36:30 MSK 2025","","","",""
"","2413","Открытие формы списка регистра сведений ""Настройки пользователей"" (CRM_НастройкиПользователей)","","Thu Feb 20 15:38:53 MSK 2025","passed","Thu Feb 20 15:38:56 MSK 2025","","","",""
"","3293","Открытие формы документа ""Заявка на довоз, обмен товара"" (ЗаявкаНаОбменДовозТовара)","","Thu Feb 20 15:07:07 MSK 2025","passed","Thu Feb 20 15:07:11 MSK 2025","","","",""
"","2327","Открытие формы списка регистра сведений ""Учетные записи электронной почты"" (CRM_УчетныеЗаписиЭлектроннойПочты)","","Thu Feb 20 15:35:55 MSK 2025","passed","Thu Feb 20 15:35:58 MSK 2025","","","",""
"","1565","Печать элемента документа ""Поручение экспедитору"" (ПоручениеЭкспедитору)","","Thu Feb 20 15:20:22 MSK 2025","passed","Thu Feb 20 15:20:23 MSK 2025","","","",""
"","3036","Открытие формы документа ""Распределение работ по операции"" (РаспределениеРаботПоОперации)","","Thu Feb 20 15:07:20 MSK 2025","passed","Thu Feb 20 15:07:23 MSK 2025","","","",""
"","2307","Открытие формы списка плана видов характеристик ""Вопросы для анкетирования"" (ВопросыДляАнкетирования)","","Thu Feb 20 15:30:33 MSK 2025","passed","Thu Feb 20 15:30:35 MSK 2025","","","",""
"","2487","Открытие формы списка справочника ""Виды объектов ЕГАИС"" (ВидыОбъектовЕГАИС)","","Thu Feb 20 14:47:24 MSK 2025","passed","Thu Feb 20 14:47:26 MSK 2025","","","",""
"","2611","Открытие формы списка регистра накопления ""Товары организаций"" (ТоварыОрганизаций)","","Thu Feb 20 15:47:27 MSK 2025","passed","Thu Feb 20 15:47:30 MSK 2025","","","",""
"","7015","Печать элемента документа ""Заявка на доставку"" (ЗаявкаНаДоставку)","","Thu Feb 20 15:30:26 MSK 2025","passed","Thu Feb 20 15:30:33 MSK 2025","","","",""
